Administrative,Informational,ProductRelated,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Customer Name,City,State,Email,Weekend,total_duration,Revenue
3,0,10,0,0.015384615,0,0,Nov,2,2,1,2,New_Visitor,Robert Ferguson,Cooperland,Florida,robert.ferguson@gmail.com,TRUE,186.6666667,Non-Buyers
0,0,18,0.011111111,0.038888889,0,0.2,May,3,2,3,5,Returning_Visitor,Shawn Larson,North Ashleyborough,Texas,shawn.larson@gmail.com,FALSE,356,Non-Buyers
0,3,24,0.015384615,0.038461538,5.903402354316805,0,Nov,1,1,5,5,Returning_Visitor,Paul Hernandez,Port Gilberthaven,Mississippi,paul.hernandez@gmail.com,FALSE,823.94693,Non-Buyers
10,3,313,0.002509267,0.013416263,6.976504629,1,May,2,2,3,2,Returning_Visitor,Brittany Ferguson,West Carolland,Arizona,brittany.ferguson@gmail.com,TRUE,7782.589917,Non-Buyers
0,0,12,0.018181818,0.054545455,0,0,May,2,2,2,1,Returning_Visitor,Brenda Brown,South Andrea,New Jersey,brenda.brown@gmail.com,FALSE,1077,Non-Buyers
0,0,1,0.2,0.2,0,0,May,1,1,2,2,Returning_Visitor,William Walters,Kayleestad,Vermont,william.walters@gmail.com,FALSE,80.94097763253002,Non-Buyers
2,2,13,0,0.005882353,0,0,Jul,2,2,5,2,New_Visitor,Shane Perry,Hernandezport,California,shane.perry@gmail.com,FALSE,878.65,Non-Buyers
1,0,11,0.05,0.066666667,0,0,Nov,2,2,4,5,Returning_Visitor,Amber Sanders,South Sarah,Mississippi,amber.sanders@gmail.com,TRUE,225,Non-Buyers
2,0,23,0.008,0.025333333,0,0,Mar,2,5,1,3,Returning_Visitor,Christina Carroll,New Laurafurt,New Hampshire,christina.carroll@gmail.com,FALSE,868.1666667,Non-Buyers
0,0,3,0.066666667,0.1,0,0,Nov,3,2,1,5,Returning_Visitor,Cindy Wood,Jonesburgh,Delaware,cindy.wood@gmail.com,FALSE,65.5,Non-Buyers
0,0,2,0,0.05,0,0,Nov,8,2,1,3,Returning_Visitor,Thomas Hood,Dudleyview,Nebraska,thomas.hood@gmail.com,FALSE,56.5,Non-Buyers
0,0,53,0,0.003921569,0,0,Nov,2,4,3,2,Returning_Visitor,Adam Hawkins,North Amy,Alaska,adam.hawkins@gmail.com,FALSE,1768.657051,Non-Buyers
3,1,54,0.007272727,0.014545455,0,0,Dec,1,1,1,5,Returning_Visitor,Sarah Serrano,New Mary,Ohio,sarah.serrano@gmail.com,TRUE,2434,Non-Buyers
0,0,42,0.01,0.016547619,0,0,Aug,2,2,1,2,Returning_Visitor,Vanessa Griffith,Jonesbury,Idaho,vanessa.griffith@gmail.com,FALSE,570.1832287,Non-Buyers
0,1,1,0,0.1,0,0,Mar,3,2,3,1,Returning_Visitor,Melissa Rush,Heatherton,New Hampshire,melissa.rush@gmail.com,FALSE,13,Non-Buyers
3,7,10,0.011111111,0.031834215,0,0,Nov,3,2,4,2,Returning_Visitor,Paul Gray,Brownhaven,New Hampshire,paul.gray@gmail.com,FALSE,837.1476190999999,Non-Buyers
0,0,22,0,0.05,0,0.4,May,2,5,5,5,Returning_Visitor,Susan Vasquez,West Kristinhaven,South Dakota,susan.vasquez@gmail.com,FALSE,598.25,Non-Buyers
4,2,256,0,0.003240964,0,0,Nov,2,2,1,2,Returning_Visitor,Heather Deleon,Popemouth,Pennsylvania,heather.deleon@gmail.com,FALSE,13620.45103,Non-Buyers
2,0,30,0.006666667,0.013333333,16.1892,0,May,2,2,5,1,Returning_Visitor,Susan Roth,Matthewville,Indiana,susan.roth@gmail.com,TRUE,1782.083333,Buyers
7,0,13,0.011764706,0.017647059,0,0,Nov,3,2,1,5,Returning_Visitor,Alvin Jones,Russellshire,Indiana,alvin.jones@gmail.com,FALSE,567.1333333,Non-Buyers
2,4,51,0.003571429,0.01186886,60.07483189,0,Nov,3,2,1,2,Returning_Visitor,Krystal Williams,Thompsontown,Washington,krystal.williams@gmail.com,TRUE,1962.501981,Buyers
0,0,41,0.009756098,0.014634146,48.99526482,0,Aug,2,2,5,2,Returning_Visitor,James Mcdonald,Lake Patrick,Louisiana,james.mcdonald@gmail.com,FALSE,4006.352857,Buyers
0,0,4,0,0.05,0,0,Nov,1,1,4,5,Returning_Visitor,Meagan Moreno,Davisside,Louisiana,meagan.moreno@gmail.com,FALSE,121.5,Non-Buyers
9,2,85,0.002197802,0.013631606,1.022550578,0,Nov,2,2,3,1,Returning_Visitor,Angela Roth,Dodsonborough,Colorado,angela.roth@gmail.com,FALSE,3179.045834,Buyers
0,0,3,0,0.066666667,0,1,May,3,2,1,5,Returning_Visitor,Erin Bowman,Martinezburgh,Vermont,erin.bowman@gmail.com,TRUE,69,Non-Buyers
0,0,3,0,0.05,32.89701477,0,Oct,3,2,2,2,New_Visitor,Cassandra Colon,Matthewton,Maryland,cassandra.colon@gmail.com,FALSE,275,Buyers
2,0,15,0,0.004444444,0,0,Mar,2,2,3,5,Returning_Visitor,Andrea Osborne,West Jasonstad,Hawaii,andrea.osborne@gmail.com,FALSE,2226.666667,Non-Buyers
7,1,121,0.011806061,0.020025438,0,0,Nov,3,2,1,5,Returning_Visitor,Kelly Lewis,South Joshua,Arkansas,kelly.lewis@gmail.com,FALSE,5197.356113,Non-Buyers
10,1,61,0,0.009552239,0,0,Mar,2,2,1,1,Returning_Visitor,Stephanie Bates,Lisatown,Massachusetts,stephanie.bates@gmail.com,FALSE,2460.179762,Non-Buyers
5,3,67,0.020833333,0.047826279,0,0,Aug,2,2,5,1,Returning_Visitor,Amy Campbell,Cassandraborough,Washington,amy.campbell@gmail.com,FALSE,1325.653333,Non-Buyers
3,0,12,0.042857143,0.052380952,0,0,Oct,2,2,2,5,Returning_Visitor,Martin Mendez,Jamiechester,Delaware,martin.mendez@gmail.com,FALSE,2826.8,Non-Buyers
8,0,28,0.014285714,0.011428571,0,0,May,1,1,1,3,Returning_Visitor,Douglas Dawson,Bowersport,Minnesota,douglas.dawson@gmail.com,TRUE,1056.166667,Non-Buyers
8,0,24,0,0.013793103,0,0.2,May,2,2,1,5,Returning_Visitor,Tammy Evans,Port James,Delaware,tammy.evans@gmail.com,FALSE,436.0833334,Non-Buyers
1,0,28,0.003448276,0.013793103,0,0,Nov,2,2,1,1,Returning_Visitor,Amy Cook,Lake Heather,Virginia,amy.cook@gmail.com,TRUE,631.4666667,Non-Buyers
1,1,3,0,0.08,0,0,Sep,2,2,1,2,Returning_Visitor,Jesse Miller,Oconnellton,South Carolina,jesse.miller@gmail.com,TRUE,22.2,Non-Buyers
4,0,39,0.015384615,0.032988166,0,0,May,1,1,5,3,Returning_Visitor,Joseph Fitzgerald,New Joanneburgh,Tennessee,joseph.fitzgerald@gmail.com,FALSE,767.6904762300001,Non-Buyers
0,0,1,0.2,0.2,0,0,Mar,2,2,1,1,Returning_Visitor,Olivia Garcia,Hernandezhaven,New Hampshire,olivia.garcia@gmail.com,FALSE,0,Non-Buyers
4,0,137,0.003165468,0.014745252,0,0,Dec,2,2,3,1,Returning_Visitor,Ricky Mckinney,Davisburgh,Pennsylvania,ricky.mckinney@gmail.com,FALSE,3839.666071,Non-Buyers
0,0,1,0.2,0.2,0,0,May,2,4,1,5,Returning_Visitor,Sylvia Russell,Tiffanystad,New Mexico,sylvia.russell@gmail.com,FALSE,0,Non-Buyers
4,1,15,0.010526316,0.031578947,0,0,Nov,2,2,1,2,New_Visitor,Cheyenne Rodriguez,Nicoleland,New Hampshire,cheyenne.rodriguez@gmail.com,FALSE,1017.666667,Buyers
0,0,34,0.021875,0.031505682,0,0,Nov,1,1,1,2,Returning_Visitor,David Mendez,Carrberg,Georgia,david.mendez@gmail.com,TRUE,933.85,Non-Buyers
0,0,4,0,0.075,0,0.6,May,2,2,4,3,Returning_Visitor,Benjamin Thompson,Robinshire,Utah,benjamin.thompson@gmail.com,FALSE,112,Non-Buyers
0,0,11,0.036363636,0.072727273,0,0,Nov,3,2,2,1,Returning_Visitor,Kelly Price,New Lisa,Rhode Island,kelly.price@gmail.com,FALSE,153.75,Non-Buyers
9,3,55,0.006451613,0.02016129,14.68324522,0,Mar,2,5,1,2,Returning_Visitor,David Scott,Williamfurt,Texas,david.scott@gmail.com,FALSE,1847.261111,Non-Buyers
0,1,33,0.027459219,0.041167134,0,0,Dec,1,1,1,5,Returning_Visitor,Lindsey Hayes,Lake Christopherburgh,Montana,lindsey.hayes@gmail.com,FALSE,1708.47619,Non-Buyers
3,1,15,0.011764706,0.07254902,0,0,May,4,1,1,1,Returning_Visitor,Theresa Soto,South Rose,Massachusetts,theresa.soto@gmail.com,FALSE,2052.047619,Non-Buyers
0,0,3,0.1,0.1,0,0,May,3,2,5,5,Returning_Visitor,John Bruce,Laurenton,South Carolina,john.bruce@gmail.com,FALSE,71,Non-Buyers
9,1,116,0.000655738,0.005854801,42.7752197,0,Nov,3,2,2,2,Returning_Visitor,Sherry Turner,Mendozachester,Montana,sherry.turner@gmail.com,FALSE,3169.656945,Buyers
0,0,19,0.010526316,0.024035088,0,0,Jul,1,1,1,2,Returning_Visitor,Christopher Jordan,South Juan,Iowa,christopher.jordan@gmail.com,FALSE,621.7266667,Non-Buyers
0,0,15,0.025,0.06875,0,0.8,May,2,2,1,5,Returning_Visitor,Martin Arellano,Johnsstad,Nebraska,martin.arellano@gmail.com,FALSE,1639.5,Non-Buyers
4,0,19,0,0.0125,0,0,Aug,2,2,5,5,New_Visitor,Antonio Holmes,Mcdanielborough,Oklahoma,antonio.holmes@gmail.com,TRUE,561.1,Non-Buyers
1,0,28,0,0.002564103,0,0,May,4,2,1,3,New_Visitor,Michael Rodriguez,Jeffreytown,Nevada,michael.rodriguez@gmail.com,FALSE,274.125,Non-Buyers
0,0,9,0.05,0.075,38.83384563,0,Dec,3,2,4,1,Returning_Visitor,Kevin Hernandez,Rosebury,Connecticut,kevin.hernandez@gmail.com,FALSE,329.25,Buyers
1,0,26,0.025,0.04202381,0,0,May,3,2,5,5,Returning_Visitor,Heather Snow,Kelleyburgh,Oregon,heather.snow@gmail.com,FALSE,1114.666667,Non-Buyers
0,0,24,0,0.004166667,15.75636267,0,Nov,1,1,4,3,Returning_Visitor,Katherine Fitzgerald,Port Victoriamouth,Oklahoma,katherine.fitzgerald@gmail.com,FALSE,783.375,Buyers
6,0,22,0.028571429,0.029761905,0,0,Nov,3,2,2,4,Returning_Visitor,Felicia Smith,Hillberg,South Dakota,felicia.smith@gmail.com,FALSE,643.8714286,Non-Buyers
5,3,45,0.014666667,0.0178,0,0,Dec,3,2,1,1,Returning_Visitor,Kevin Cummings,South Sara,Minnesota,kevin.cummings@gmail.com,FALSE,2308,Non-Buyers
0,0,19,0,0.010526316,0,0,Mar,1,1,1,2,Returning_Visitor,Paul Velazquez,Williamschester,Mississippi,paul.velazquez@gmail.com,FALSE,224.9583333,Non-Buyers
10,1,75,0.005063291,0.021603376,0,0,Dec,2,2,4,1,Returning_Visitor,Erin Bass,Lake Rachel,Wyoming,erin.bass@gmail.com,FALSE,1756.55873,Non-Buyers
0,0,31.786971110565513,0,0.021428571,0,0,Dec,1,1,2,1,Returning_Visitor,Daniel Hardy,Melissaview,North Carolina,daniel.hardy@gmail.com,FALSE,502.9166667,Non-Buyers
0,0,7,0,0.028571429,0,0,Dec,8,2,1,2,New_Visitor,Deborah Moreno,Abbotthaven,Florida,deborah.moreno@gmail.com,TRUE,99.75,Non-Buyers
0,0,62,0,0.009539422,5.1680996,0,Nov,2,2,1,2,Returning_Visitor,Shannon Anderson,Torrestown,Kansas,shannon.anderson@gmail.com,FALSE,3299.525,Buyers
3,0,25,0.008,0.016888889,0,0,May,2,2,2,1,Returning_Visitor,Sheila Mckinney,Rogershaven,Kentucky,sheila.mckinney@gmail.com,FALSE,2900.2,Non-Buyers
5,1,37,0,0.017261905,4.744206349,0,May,3,2,5,2,Returning_Visitor,Maria Jones,Thomasmouth,California,maria.jones@gmail.com,TRUE,1897.133333,Non-Buyers
7,0,22,0,0.001666667,0,0,Oct,2,4,4,2,Returning_Visitor,Alyssa Marsh,Lake Janet,Utah,alyssa.marsh@gmail.com,FALSE,928.9166667,Non-Buyers
3,0,2,0,0.033333333,0,0,Sep,2,2,1,2,New_Visitor,Matthew Bell,West Alexandramouth,Minnesota,matthew.bell@gmail.com,FALSE,18,Buyers
4,2,31.786971110565513,0.031506849,0.055342466,0,0,Sep,4,1,5,3,Returning_Visitor,Eric Hill,New Regina,Minnesota,eric.hill@gmail.com,TRUE,3334.5166670000003,Non-Buyers
1,1,17,0.010526316,0.052631579,0,0,Aug,2,2,3,4,Returning_Visitor,Charlene Trujillo,East Jason,Washington,charlene.trujillo@gmail.com,FALSE,1204.666667,Non-Buyers
0,0,27,0.016,0.04,0,0.2,May,2,2,3,3,Returning_Visitor,Michael Walker,South Johnstad,Vermont,michael.walker@gmail.com,FALSE,190.25,Non-Buyers
3,0,16,0,0.0125,0,0,Mar,2,4,1,1,Returning_Visitor,Kathy Blackwell,Catherinehaven,Iowa,kathy.blackwell@gmail.com,TRUE,449.1904762,Non-Buyers
2,0,46,0.008163265,0.03537415,6.012671082,0,Sep,2,4,3,1,Returning_Visitor,Jennifer Hansen,West Jillianmouth,Montana,jennifer.hansen@gmail.com,FALSE,1400.5,Non-Buyers
0,0,2,0,0.05,0,0,May,3,2,1,5,Returning_Visitor,Stephen Phillips,Taylorview,New Mexico,stephen.phillips@gmail.com,FALSE,205,Non-Buyers
0,0,6,0,0.033333333,0,0,May,2,4,3,3,Returning_Visitor,Gregory Lee,South Jenniferburgh,New Mexico,gregory.lee@gmail.com,FALSE,50,Non-Buyers
6,0,4,0,0.022222222,0,0,Sep,2,4,5,2,New_Visitor,Gregory Russell,North Anna,Iowa,gregory.russell@gmail.com,FALSE,160.5,Buyers
0,0,1,0.2,0.2,0,0,Dec,3,2,3,1,Returning_Visitor,Patrick Larsen,Kellymouth,Wisconsin,patrick.larsen@gmail.com,TRUE,0,Non-Buyers
1,0,2,0,0.1,0,0,Dec,2,2,5,2,Returning_Visitor,Maria Jennings,Port Christopher,Hawaii,maria.jennings@gmail.com,TRUE,66.5,Non-Buyers
11,3,41,0.001754386,0.013972431,22.65941331,0,Oct,2,4,1,5,Returning_Visitor,Nicole Little,Jamesmouth,Iowa,nicole.little@gmail.com,FALSE,5956.02381,Non-Buyers
7,3,65,0.012206573,0.030146368,6.147633803,0,May,3,2,3,4,Returning_Visitor,John Howard,Rodneyburgh,Pennsylvania,john.howard@gmail.com,TRUE,2500.662821,Non-Buyers
0,0,9,0,0.022222222,0,0,Jul,2,2,1,1,Returning_Visitor,Alexander Hernandez,Lake Michaelland,Mississippi,alexander.hernandez@gmail.com,FALSE,166.12,Non-Buyers
